Municipalities,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hele landet,39.7,39.8,39.9,40.0,40.1,40.2,40.4,40.6,40.7,40.9,41.1,41.2,41.4,41.5
København,37.1,37.1,37.0,36.8,36.6,36.4,36.2,36.1,36.0,35.9,35.9,35.9,35.9,35.9
Frederiksberg,40.8,40.9,40.7,40.5,40.2,39.8,39.6,39.5,39.3,39.3,39.4,39.4,39.5,39.6
Dragør,42.3,42.4,42.6,42.9,42.9,43.0,43.2,43.4,43.5,43.8,43.9,44.0,44.0,44.2
Tårnby,41.6,41.5,41.5,41.4,41.4,41.5,41.4,41.5,41.4,41.5,41.4,41.4,41.4,41.4
Albertslund,36.5,36.9,37.2,37.4,37.6,37.9,38.1,38.3,38.6,38.9,39.1,39.3,39.5,39.8
Ballerup,39.9,40.1,40.2,40.4,40.6,40.7,40.8,41.0,41.2,41.4,41.7,41.9,42.1,42.2
Brøndby,40.1,40.4,40.7,40.9,41.1,41.1,41.2,41.3,41.4,41.3,41.3,41.4,41.4,41.4
Gentofte,41.3,41.4,41.5,41.5,41.4,41.2,41.2,41.2,41.3,41.3,41.4,41.6,41.7,41.9
Gladsaxe,40.1,40.1,40.1,40.0,39.9,39.8,39.7,39.7,39.7,39.7,39.7,39.8,39.7,39.7
Glostrup,40.8,41.0,41.2,41.2,41.2,41.2,41.1,41.1,41.1,41.1,41.1,41.2,41.2,41.2
Herlev,40.3,40.6,40.9,41.0,41.1,41.3,41.3,41.3,41.3,41.0,41.0,41.0,41.1,41.1
Hvidovre,39.7,39.7,39.9,40.0,40.1,40.0,40.0,40.1,40.0,40.1,40.0,40.0,40.0,40.0
Høje-Taastrup,38.2,38.2,38.3,38.4,38.6,38.8,38.9,39.2,39.3,39.5,39.7,39.7,39.9,40.0
Ishøj,36.2,36.4,36.7,37.0,37.3,37.7,37.8,37.9,38.2,38.4,38.5,38.5,38.6,38.8
Lyngby-Taarbæk,42.4,42.3,42.2,42.3,42.2,42.0,41.8,41.7,41.7,41.7,41.7,41.5,41.5,41.6
Rødovre,41.2,41.1,41.3,41.3,41.3,41.3,41.2,41.3,41.2,41.3,41.3,41.2,41.0,40.9
Vallensbæk,40.0,40.3,40.6,40.5,39.7,39.4,39.3,39.5,39.6,39.7,39.8,40.0,39.9,39.7
Allerød,38.4,38.7,39.0,39.4,39.6,39.8,40.2,40.6,41.0,41.4,41.7,41.8,42.1,42.2
Egedal,37.5,37.6,37.8,38.0,38.3,38.6,38.9,39.3,39.7,40.0,40.3,40.6,40.8,41.1
Fredensborg,39.6,39.8,39.9,40.2,40.5,40.9,41.2,41.6,42.0,42.3,42.6,42.9,43.1,43.3
Frederikssund,39.8,40.0,40.3,40.5,40.9,41.3,41.6,42.0,42.4,42.7,43.2,43.5,43.7,44.1
Furesø,39.8,40.0,40.2,40.4,40.7,40.8,41.0,41.4,41.8,42.0,42.1,42.0,42.1,42.2
Gribskov,41.2,41.4,41.6,41.9,42.2,42.7,43.2,43.7,44.1,44.6,44.9,45.2,45.6,46.0
Halsnæs,41.4,41.6,41.8,42.1,42.3,42.5,42.9,43.3,43.8,44.2,44.6,44.9,45.2,45.5
Helsingør,40.7,40.9,41.2,41.5,41.6,41.8,42.1,42.4,42.7,43.2,43.4,43.7,44.0,44.3
Hillerød,38.8,38.7,38.8,39.0,39.2,39.5,39.7,39.9,40.2,40.5,40.8,40.9,41.1,41.3
Hørsholm,43.0,43.2,43.4,43.6,43.8,44.0,44.3,44.7,44.9,45.1,45.4,45.6,45.7,45.9
Rudersdal,41.8,41.8,41.9,42.0,42.1,42.3,42.3,42.5,42.8,42.9,43.0,43.1,43.3,43.5
Bornholm,43.4,43.7,44.1,44.3,44.6,45.1,45.4,45.9,46.3,46.9,47.2,47.5,47.7,47.9
Christiansø,44.4,47.1,45.5,43.1,42.4,40.7,42.1,40.0,44.6,44.9,44.1,45.4,45.0,43.5
Greve,38.9,39.2,39.4,39.7,40.0,40.4,40.7,41.0,41.3,41.7,41.9,42.0,42.1,42.4
Køge,38.9,39.0,39.1,39.2,39.4,39.7,39.9,40.3,40.6,40.9,41.1,41.3,41.6,41.8
Lejre,39.7,39.9,40.0,40.1,40.3,40.7,41.1,41.4,41.9,42.3,42.6,42.8,43.1,43.3
Roskilde,39.4,39.4,39.5,39.8,40.0,40.1,40.3,40.5,40.7,40.9,41.1,41.2,41.3,41.5
Solrød,38.4,38.4,38.7,39.1,39.5,39.8,40.1,40.3,40.7,41.0,41.1,41.2,41.3,41.4
Faxe,40.2,40.5,40.5,40.7,41.0,41.3,41.7,42.1,42.5,42.9,43.2,43.4,43.6,43.8
Guldborgsund,43.4,43.6,43.6,43.7,43.9,44.2,44.3,44.7,45.1,45.4,45.7,45.8,45.8,46.0
Holbæk,39.4,39.5,39.6,39.8,40.0,40.2,40.5,40.8,41.2,41.6,42.0,42.1,42.2,42.6
Kalundborg,41.0,41.0,41.2,41.3,41.5,41.9,42.2,42.6,43.1,43.4,43.7,43.9,44.2,44.4
Lolland,44.2,44.5,44.6,44.8,45.0,45.4,45.7,46.1,46.5,46.9,47.2,47.4,47.7,47.9
Næstved,40.4,40.4,40.5,40.6,40.7,40.9,41.2,41.4,41.7,42.0,42.2,42.4,42.6,42.8
Odsherred,43.5,43.7,44.1,44.3,44.7,45.1,45.6,45.9,46.5,46.9,47.2,47.5,47.7,48.0
Ringsted,39.0,39.0,39.1,39.1,39.2,39.4,39.6,39.9,40.2,40.5,40.8,41.0,41.2,41.3
Slagelse,40.3,40.5,40.6,40.7,40.9,41.1,41.3,41.6,41.9,42.2,42.4,42.5,42.6,42.8
Sorø,40.3,40.3,40.4,40.5,40.6,40.8,41.2,41.5,41.9,42.3,42.5,42.8,43.0,43.2
Stevns,41.8,41.9,42.0,42.2,42.5,42.8,43.2,43.4,43.9,44.3,44.6,44.8,45.0,45.3
Vordingborg,42.6,42.8,43.1,43.3,43.5,43.8,44.0,44.4,44.8,45.0,45.3,45.6,45.8,46.0
Assens,40.6,40.7,40.8,41.0,41.2,41.4,41.8,42.2,42.7,43.1,43.3,43.6,43.7,44.0
Faaborg-Midtfyn,41.5,41.8,41.9,42.1,42.2,42.4,42.6,43.0,43.4,43.7,43.9,44.1,44.3,44.4
Kerteminde,41.0,41.3,41.5,41.8,42.0,42.2,42.6,43.0,43.3,43.7,44.1,44.3,44.6,45.0
Langeland,46.2,46.5,46.8,47.3,47.7,47.9,48.4,48.8,49.4,49.7,50.1,50.3,50.4,50.6
Middelfart,40.7,40.9,41.0,41.1,41.3,41.5,41.8,42.2,42.6,42.9,43.2,43.4,43.6,43.9
Nordfyns,40.8,40.9,41.0,41.1,41.2,41.5,41.8,42.2,42.6,43.0,43.3,43.5,43.7,44.0
Nyborg,41.4,41.7,41.9,41.9,42.1,42.4,42.7,43.0,43.3,43.6,43.8,43.9,44.1,44.4
Odense,38.8,38.8,38.9,39.0,39.1,39.1,39.2,39.2,39.2,39.2,39.3,39.4,39.4,39.5
Svendborg,40.9,41.1,41.3,41.4,41.6,41.9,42.2,42.5,42.8,43.1,43.4,43.6,43.8,43.9
Ærø,48.0,48.2,48.4,48.7,48.9,49.0,49.2,49.4,49.9,50.5,50.9,50.9,51.6,51.8
Billund,39.4,39.6,39.8,40.0,40.2,40.5,40.8,41.0,41.2,41.5,41.9,42.0,42.1,42.4
Esbjerg,39.1,39.4,39.6,39.9,40.0,40.2,40.4,40.7,40.9,41.2,41.3,41.6,41.8,42.0
Fanø,44.1,44.8,45.2,45.6,46.4,46.4,46.7,47.1,47.7,48.0,48.7,49.1,49.1,49.3
Fredericia,39.9,40.1,40.3,40.4,40.5,40.6,40.8,41.0,41.2,41.4,41.7,41.9,42.1,42.3
Haderslev,40.4,40.6,40.8,40.9,41.0,41.3,41.6,41.7,42.1,42.4,42.7,42.9,43.2,43.5
Kolding,38.8,38.9,39.0,39.2,39.3,39.4,39.7,39.9,40.1,40.3,40.4,40.5,40.7,40.9
Sønderborg,40.8,40.9,41.1,41.3,41.6,41.9,42.2,42.4,42.8,43.1,43.4,43.8,44.0,44.3
Tønder,40.9,41.2,41.5,41.7,41.9,42.3,42.6,43.0,43.4,43.8,44.1,44.4,44.5,44.8
Varde,39.6,39.9,40.2,40.4,40.5,40.8,41.1,41.4,41.8,42.2,42.4,42.7,42.9,43.1
Vejen,39.5,39.7,39.8,39.8,40.0,40.2,40.4,40.7,41.0,41.3,41.7,41.8,42.1,42.3
Vejle,39.1,39.3,39.4,39.5,39.6,39.8,39.9,40.1,40.3,40.5,40.7,40.9,41.0,41.1
Aabenraa,40.4,40.7,40.8,41.0,41.2,41.5,41.8,42.2,42.5,42.8,43.1,43.5,43.7,43.8
Favrskov,38.1,38.2,38.2,38.3,38.4,38.7,38.9,39.2,39.5,39.8,40.1,40.3,40.5,40.7
Hedensted,39.2,39.2,39.3,39.3,39.5,39.7,40.1,40.4,40.8,41.2,41.4,41.7,41.9,42.2
Horsens,39.2,39.2,39.2,39.2,39.2,39.3,39.4,39.5,39.6,39.8,40.0,40.1,40.1,40.3
Norddjurs,41.6,41.8,42.0,42.1,42.4,42.7,43.0,43.2,43.4,43.8,44.0,44.1,44.4,44.7
Odder,40.1,40.2,40.4,40.6,40.8,41.1,41.4,41.9,42.2,42.6,42.9,43.1,43.3,43.5
Randers,40.2,40.3,40.4,40.5,40.5,40.6,40.7,40.9,41.1,41.3,41.4,41.6,41.7,41.9
Samsø,46.6,46.9,46.8,47.0,47.5,47.7,48.6,49.0,49.7,50.1,50.2,50.8,51.2,51.4
Silkeborg,38.8,39.0,39.0,39.1,39.3,39.4,39.7,39.9,40.2,40.5,40.8,41.0,41.3,41.4
Skanderborg,37.8,37.9,38.0,38.2,38.3,38.5,38.8,39.1,39.4,39.8,40.0,40.2,40.3,40.3
Syddjurs,41.2,41.4,41.5,41.7,42.0,42.3,42.5,42.9,43.2,43.6,44.1,44.4,44.7,44.9
Aarhus,37.0,37.1,37.3,37.3,37.4,37.4,37.4,37.4,37.5,37.5,37.6,37.7,37.7,37.7
Herning,38.5,38.7,38.8,38.9,39.1,39.3,39.5,39.7,39.9,40.2,40.5,40.7,40.8,41.0
Holstebro,39.0,39.2,39.3,39.4,39.5,39.8,40.0,40.2,40.5,40.8,41.0,41.2,41.3,41.4
Ikast-Brande,38.9,39.1,39.3,39.5,39.6,39.8,40.0,40.2,40.5,40.8,41.0,41.3,41.5,41.7
Lemvig,40.6,40.8,41.3,41.6,41.9,42.3,42.7,43.1,43.5,44.1,44.5,44.9,45.3,45.6
Ringkøbing-Skjern,39.3,39.5,39.7,39.9,40.1,40.4,40.8,41.1,41.6,42.0,42.3,42.5,42.7,43.0
Skive,40.1,40.3,40.5,40.8,41.0,41.3,41.5,41.9,42.3,42.6,43.0,43.3,43.6,43.8
Struer,40.2,40.5,40.8,41.0,41.3,41.6,42.1,42.5,42.9,43.4,43.8,44.0,44.4,44.7
Viborg,39.2,39.3,39.5,39.6,39.7,39.9,40.1,40.3,40.5,40.7,41.0,41.2,41.3,41.6
Brønderslev,40.7,40.9,41.0,41.1,41.1,41.3,41.5,41.8,42.0,42.3,42.5,42.6,42.8,43.0
Frederikshavn,41.8,42.2,42.5,42.8,43.1,43.5,43.8,44.1,44.6,44.9,45.2,45.5,45.7,46.0
Hjørring,40.5,40.7,41.0,41.1,41.4,41.7,42.0,42.3,42.6,42.9,43.2,43.4,43.7,44.0
Jammerbugt,40.5,40.9,41.0,41.3,41.5,41.8,42.1,42.3,42.6,43.0,43.4,43.5,43.7,43.9
Læsø,47.0,47.9,48.3,48.8,49.3,49.9,50.3,51.2,51.7,52.5,52.3,52.3,52.8,53.5
Mariagerfjord,40.2,40.4,40.7,40.8,40.9,41.2,41.5,41.9,42.3,42.6,42.8,43.2,43.5,43.8
Morsø,41.8,42.0,42.2,42.6,42.7,42.9,43.3,43.5,44.0,44.3,44.6,44.9,45.1,45.4
Rebild,39.1,39.2,39.3,39.5,39.6,39.9,40.1,40.3,40.6,41.0,41.2,41.3,41.4,41.5
Thisted,40.6,40.8,41.1,41.4,41.6,41.8,42.1,42.3,42.7,43.0,43.3,43.5,43.7,44.0
Vesthimmerlands,40.6,40.7,41.0,41.0,41.1,41.5,41.8,42.1,42.3,42.6,42.9,43.2,43.5,43.7
Aalborg,39.2,39.3,39.4,39.5,39.5,39.6,39.6,39.7,39.7,39.7,39.8,39.8,39.8,39.9
